id, street, neighbourhood, zipcode, smart_location, is_location_exact, property_type, room_type, accommodates, bedrooms, beds, price
13640452, Dublin; Dublin; Ireland, Sandymount, , Dublin; Ireland, f, Apartment, Private room, 1, 1, 1, 80.00
13640970, Dublin; Dublin; Ireland, Trinity College, , Dublin; Ireland, f, Cabin, Private room, 1, 1, 1, 50.00
13644265, Teach Mealóg; Dublin; Ireland, Templeogue, Dublin 6w, Teach Mealóg; Ireland, t, House, Private room, 2, 1, 1, 30.00
13654990, Dublin; Dublin; Ireland, Ballsbridge, , Dublin; Ireland, t, Apartment, Entire home/apt, 4, 2, 2, 170.00
13655082, Dublin; Dublin; Ireland, Docklands, , Dublin; Ireland, f, Apartment, Private room, 2, 1, 1, 115.00
13655139, Dublin 6; County Dublin; Ireland, Ranelagh and Rathmines, D06 C8W6, Dublin 6; Ireland, t, House, Private room, 1, 1, 1, 30.00
13656446, Dublin; Dublin; Ireland, Grafton Street/St. Stephens Green, , Dublin; Ireland, t, House, Entire home/apt, 5, 3, 3, 175.00
13656769, Dublin; Dublin; Ireland, Smithfield, , Dublin; Ireland, t, Apartment, Entire home/apt, 7, 2, 3, 170.00
13658185, Dublin; Dublin; Ireland, The Liberties, , Dublin; Ireland, f, Apartment, Private room, 2, 1, 1, 45.00
13668400, Dublin; Dublin; Ireland, Terenure, , Dublin; Ireland, t, House, Private room, 2, 1, 1, 60.00
13669072, Dublin; Dublin; Ireland, Artane, , Dublin; Ireland, t, House, Private room, 2, 1, 1, 39.00
13671858, Dublin; Dublin; Ireland, Castleknock, , Dublin; Ireland, t, House, Private room, 2, 1, 1, 40.00
13672056, Clonskeagh; Dublin; Ireland, Dundrum, , Clonskeagh; Ireland, f, House, Private room, 2, 1, 1, 65.00
13682310, Dublin; Dublin; Ireland, Docklands, D2;D2, Dublin; Ireland, f, Apartment, Entire home/apt, 10, 3, 6, 500.00
13683204, Clontarf; Dublin; Ireland, Clontarf, , Clontarf; Ireland, t, House, Entire home/apt, 6, 4, 4, 300.00
13684551, Drumcondra; Dublin; Ireland, Drumcondra, , Drumcondra; Ireland, t, House, Private room, 2, 1, 1, 60.00
13684849, Dublin; Dublin; Ireland, Old City, , Dublin; Ireland, t, Apartment, Entire home/apt, 8, 2, 4, 180.00
13686644, Ballsbridge; Dublin; Ireland, Ballsbridge, , Ballsbridge; Ireland, t, House, Entire home/apt, 6, 4, 4, 345.00
13688159, Ballsbridge; Dublin; Ireland, Sandymount, , Ballsbridge; Ireland, t, Apartment, Private room, 1, 1, 1, 25.00
13689736, Dublin; Dublin; Ireland, Bonnybrook/Darndale, , Dublin; Ireland, t, House, Private room, 2, 1, 1, 35.00
13690430, Ringsend;; Dublin 4.; Ireland, Docklands, , Ringsend;; Ireland, t, Apartment, Entire home/apt, 6, 3, 3, 115.00
13691396, Dublin; Dublin; Ireland, Mount Merrion, , Dublin; Ireland, f, House, Entire home/apt, 5, 3, 3, 180.00
13692555, Dublin; Dublin; Ireland, City Centre, , Dublin; Ireland, f, Apartment, Private room, 2, 1, 1, 63.00
13693205, Malahide; Dublin; Ireland, , , Malahide; Ireland, f, Apartment, Entire home/apt, 4, 2, 2, 105.00
13694942, Dublin; Dublin; Ireland, Clontarf, , Dublin; Ireland, f, Apartment, Entire home/apt, 2, 1, 1, 149.00
13695592, Swords; Dublin; Ireland, , , Swords; Ireland, t, Townhouse, Private room, 2, 1, 1, 26.00
13696977, Churchtown; County Dublin; Ireland, Churchtown, D14 V597, Churchtown; Ireland, f, Cabin, Entire home/apt, 2, 1, 1, 60.00
