id,host_id,host_neighbourhood,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bedrooms,beds,price
575339,1689834,,"Dublin, County Dublin, Ireland",Docklands,Dublin City,,Dublin,County Dublin,Dublin 2,"Dublin, Ireland",f,Apartment,Private room,2,1,2,$50.00
587218,2895736,Cabra,"Dublin, Dublin, Ireland",City Centre,Dublin City,,Dublin,Dublin,,"Dublin, Ireland",t,House,Private room,2,1,1,$80.00
592840,2115318,,"Lucan, County Dublin, Ireland",,South Dublin,,Lucan,County Dublin,,"Lucan, Ireland",t,House,Private room,1,1,1,$55.00
595320,2941825,The Liberties,"Dublin, Ireland",The Liberties,Dublin City,,Dublin,,Dublin 8,"Dublin, Ireland",f,Apartment,Private room,2,1,1,$40.00
610233,687547,,"Smithfield, Dublin, Ireland",Smithfield,Dublin City,,Smithfield,Dublin,,"Smithfield, Ireland",t,House,Entire home/apt,4,2,2,$101.00
623321,3090938,,"Dublin, Dublin, Ireland",Kimmage,South Dublin,,Dublin,Dublin,,"Dublin, Ireland",t,House,Private room,8,2,3,$120.00
626920,3090938,,"Dublin, Dublin, Ireland",Kimmage,South Dublin,,Dublin,Dublin,,"Dublin, Ireland",t,House,Private room,8,1,4,$120.00
630655,1334552,Smithfield,"Dublin, Dublin, Ireland",City Centre,Dublin City,,Dublin,Dublin,,"Dublin, Ireland",t,Loft,Private room,1,1,1,$50.00
631270,3125619,Docklands,"Ringsend, Dublin, Ireland",Docklands,Dublin City,,Ringsend,Dublin,,"Ringsend, Ireland",t,Townhouse,Private room,1,1,1,$59.00
631455,3125619,Docklands,"Ringsend, Dublin, Ireland",Docklands,Dublin City,,Ringsend,Dublin,,"Ringsend, Ireland",t,Townhouse,Private room,1,0,3,$230.00
637185,3177950,Smithfield,"Dublin, Dublin, Ireland",City Centre,Dublin City,,Dublin,Dublin,,"Dublin, Ireland",t,Apartment,Entire home/apt,2,1,1,$94.00
641880,3207141,Old City,"Dublin, Dublin, Ireland",Old City,Dublin City,,Dublin,Dublin,,"Dublin, Ireland",t,Apartment,Private room,2,1,1,$85.00
649740,2811286,Old City,"Dublin 2, Ireland",Old City,Dublin City,,Dublin 2,,,"Dublin 2, Ireland",t,Apartment,Private room,2,1,1,$85.00
