id,street,neighbourhood,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bedrooms,beds,price_19_07,price_19_01,price_19_03,price_19_04,price_19_05,price_19_06,price_19_08,price_19_09,price_19_10,price_19_11,price_19_12,price_20_01,price_20_02,price_20_04,price_20_05,price_20_06,price_20_07
426326,Dublin;CountyDublin;Ireland,Beaumont,Dublin9,Dublin;Ireland,t,House,Privateroom,3,1,2,38.00,35.00,38.00,38.00,36.00,38.00,0,38.00,0,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00
427077,Dublin;CountyDublin;Ireland,CityCentre,,Dublin;Ireland,t,Loft,Entirehome/apt,3,1,2,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
427495,Dublin;CountyDublin;Ireland,Beaumont,Dublin9,Dublin;Ireland,t,House,Privateroom,2,8,2,38.00,36.00,38.00,38.00,38.00,36.00,0,38.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00
454183,Dublin;CountyDublin;Ireland,Cabra,Dublin7,Dublin;Ireland,t,Loft,Entirehome/apt,3,1,2,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,0,0
460461,Dublin;Dublin;Ireland,Santry,,Dublin;Ireland,f,Apartment,Entirehome/apt,6,3,3,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,0,0,0,200.00,200.00,200.00,200.00,200.00
468082,Lucan;CountyDublin;Ireland,,,Lucan;Ireland,t,House,Privateroom,6,3,4,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00
497136,Dublin;CountyDublin;Ireland,Sandymount,Dublin4,Dublin;Ireland,t,House,Privateroom,2,1,1,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00
519416,Dublin;Dublin1;Ireland,Smithfield,,Dublin;Ireland,t,Apartment,Privateroom,2,1,1,52.00,60.00,50.00,50.00,50.00,50.00,52.00,52.00,52.00,52.00,52.00,52.00,52.00,52.00,52.00,52.00,52.00
521746,Swords;CountyDublin;Ireland,,,Swords;Ireland,t,House,Privateroom,2,1,2,41.00,41.00,41.00,41.00,41.00,41.00,0,0,0,0,0,0,0,0,0,0,0
522667,Dublin;CountyDublin;Ireland,"NorthCityCentral/OConnellStreet",,Dublin;Ireland,t,Loft,Entirehome/apt,3,1,1,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
536320,Dublin;CountyDublin;Ireland,Smithfield,Dublin7,Dublin;Ireland,t,Loft,Privateroom,2,1,1,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00
547945,Dublin;CountyDublin;Ireland,Phibsborough,Dublin7,Dublin;Ireland,t,House,Privateroom,1,1,1,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00
564274,Stillorgan;CountyDublin;Ireland,Dundrum,Dublin18,Stillorgan;Ireland,t,House,Privateroom,2,2,1,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0,0,0,0,0
575339,Dublin;CountyDublin;Ireland,Docklands,Dublin2,Dublin;Ireland,f,Apartment,Privateroom,2,1,2,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00
587218,Dublin;Dublin;Ireland,CityCentre,,Dublin;Ireland,t,House,Privateroom,2,1,1,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00
592840,Lucan;CountyDublin;Ireland,,,Lucan;Ireland,t,House,Privateroom,1,1,1,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00
595320,Dublin;Ireland,TheLiberties,Dublin8,Dublin;Ireland,f,Apartment,Privateroom,2,1,1,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
610233,Smithfield;Dublin;Ireland,Smithfield,,Smithfield;Ireland,t,House,Entirehome/apt,4,2,2,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00
623321,Dublin;Dublin;Ireland,Kimmage,,Dublin;Ireland,t,House,Privateroom,8,2,3,120.00,0,100.00,100.00,120.00,120.00,120.00,120.00,0,0,0,0,0,0,0,0,0
626920,Dublin;Dublin;Ireland,Kimmage,,Dublin;Ireland,t,House,Privateroom,8,1,4,120.00,0,100.00,100.00,120.00,120.00,120.00,120.00,0,0,0,0,0,0,0,0,0
630655,Dublin;Dublin;Ireland,CityCentre,,Dublin;Ireland,t,Loft,Privateroom,1,1,1,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,0,0
631270,Ringsend;Dublin;Ireland,Docklands,,Ringsend;Ireland,t,Townhouse,Privateroom,1,1,1,59.00,59.00,59.00,59.00,59.00,59.00,0,0,0,0,0,0,0,0,0,0,0
631455,Ringsend;Dublin;Ireland,Docklands,,Ringsend;Ireland,t,Townhouse,Privateroom,1,0,3,230.00,230.00,230.00,230.00,230.00,230.00,0,0,0,0,0,0,0,0,0,0,0
637185,Dublin;Dublin;Ireland,CityCentre,,Dublin;Ireland,t,Apartment,Entirehome/apt,2,1,1,94.00,92.00,93.00,93.00,94.00,92.00,95.00,95.00,94.00,95.00,94.00,95.00,96.00,97.00,96.00,93.00,90.00
641880,Dublin;Dublin;Ireland,OldCity,,Dublin;Ireland,t,Apartment,Privateroom,2,1,1,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00
649740,Dublin2;Ireland,OldCity,,Dublin2;Ireland,t,Apartment,Privateroom,2,1,1,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,0,0,0,0,0
649854,CountyDublin;CountyDublin;Ireland,"NorthCityCentral/OConnellStreet",D01XN35,CountyDublin;Ireland,t,Apartment,Entirehome/apt,4,1,3,85.00,85.00,85.00,85.00,85.00,85.00,0,0,0,0,0,0,0,0,0,0,0
681875,Ballsbridge;Dublin4;Ireland,Ballsbridge,,Ballsbridge;Ireland,t,Apartment,Privateroom,1,1,1,58.00,0,0,0,48.00,48.00,49.00,49.00,48.00,48.00,0,0,48.00,35.00,35.00,35.00,38.00
690119,Dundrum;Dublin;Ireland,Churchtown,,Dundrum;Ireland,t,Cottage,Entirehome/apt,4,2,2,295.00,196.00,196.00,196.00,196.00,196.00,295.00,295.00,295.00,295.00,295.00,295.00,295.00,295.00,295.00,260.00,295.00
692956,Dublin;Dublin;Ireland,,,Dublin;Ireland,t,Guesthouse,Entirehome/apt,2,1,2,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00
700142,Dublin;Dublin;Ireland,Rathfarnham,,Dublin;Ireland,f,House,Privateroom,2,1,3,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00
700193,Dublin;Dublin;Ireland,,16,Dublin;Ireland,f,House,Entirehome/apt,10,1,10,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00
701759,Dundrum;Dublin;Ireland,Dundrum,,Dundrum;Ireland,t,House,Privateroom,2,1,1,65.00,0,0,0,0,0,0,75.00,0,75.00,75.00,0,0,0,0,0,0
726011,Skerries;Co.Dublin;Ireland,,0,Skerries;Ireland,t,Apartment,Entirehome/apt,3,1,3,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
