id, street, neighbourhood, zipcode, smart_location, is_location_exact, property_type, room_type, accommodates, bedrooms, beds, price_19q1, price_19q2, price_19q3, price_19q4, price_20q1, price_20q2, price_20q3
18723285,  Dublin;CountyDublin;Ireland,  "NorthCityCentral/OConnellStreet",  D01R9Y9,  Dublin;Ireland,  t,  Apartment,  Entirehome/apt, 6, 2, 4, 186.0, 186.0, 187.33333333333334, 120.0, 184.5, 124.54, 125.58
18725022,  Dublin;CountyDublin;Ireland,  CityCentre,  ,  Dublin;Ireland,  f,  Apartment,  Entirehome/apt, 3, 1, 3, 100.0, 100.0, 101.0, 103.0, 103.0, 34.333333333333336, 125.58
18725492,  Dublin;CountyDublin;Ireland,  Portobello,  D08N40F,  Dublin;Ireland,  t,  Townhouse,  Entirehome/apt, 4, 2, 2, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0
18728763,  Dublin;CountyDublin;Ireland,  TempleBar,  ,  Dublin;Ireland,  f,  Apartment,  Privateroom, 2, 1, 2, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0
18730241,  Dublin;CountyDublin;Ireland,  Drumcondra,  ,  Dublin;Ireland,  t,  Apartment,  Privateroom, 2, 1, 1, 48.0, 48.0, 32.0, 119.72, 119.95, 124.54, 125.58
18731610,  Dublin;Dublin;Ireland,  Clondalkin,  D22RK15,  Dublin;Ireland,  f,  Apartment,  Entirehome/apt, 4, 2, 2, 85.0, 85.0, 28.333333333333332, 119.72, 119.95, 124.54, 125.58
18733924,  Dublin;CountyDublin;Ireland,  CityCentre,  ,  Dublin;Ireland,  f,  Condominium,  Privateroom, 2, 2, 3, 44.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0
18734212,  Dublin;CountyDublin;Ireland,  Phibsborough,  D07Y6N4,  Dublin;Ireland,  t,  Townhouse,  Entirehome/apt, 4, 1, 2, 136.0, 136.0, 136.0, 136.0, 136.0, 136.0, 136.0
18735152,  Clondalkin;CountyDublin;Ireland,  Clondalkin,  D22NF85,  Clondalkin;Ireland,  t,  House,  Entirehome/apt, 7, 4, 8, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0
18740243,  Ballsbridge;CountyDublin;Ireland,  Ballsbridge,  D04RH24,  Ballsbridge;Ireland,  t,  Apartment,  Entirehome/apt, 4, 2, 2, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0
18742855,  Dublin;CountyDublin;Ireland,  CityCentre,  Dublin1,  Dublin;Ireland,  f,  Apartment,  Privateroom, 2, 1, 1, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0
18747691,  Dublin;CountyDublin;Ireland,  Castleknock,  D15RCY8,  Dublin;Ireland,  t,  Loft,  Privateroom, 2, 1, 1, 113.59, 118.89, 8.333333333333334, 119.72, 119.95, 124.54, 125.58
18747850,  Dublin;CountyDublin;Ireland,  Drumcondra,  ,  Dublin;Ireland,  t,  Apartment,  Privateroom, 3, 1, 2, 52.0, 52.0, 34.666666666666664, 119.72, 119.95, 124.54, 125.58
18748217,  Dublin;CountyDublin;Ireland,  OldCity,  D08K2N9,  Dublin;Ireland,  t,  Apartment,  Privateroom, 2, 1, 1, 95.0, 95.0, 95.0, 31.666666666666668, 119.95, 124.54, 125.58
18751538,  Dublin;CountyDublin;Ireland,  Phibsborough,  D07X0E9,  Dublin;Ireland,  t,  Cabin,  Privateroom, 2, 1, 1, 85.0, 88.33333333333333, 90.0, 90.0, 90.0, 90.0, 90.0
18752180,  Dublin;CountyDublin;Ireland,  TrinityCollege,  D02K020,  Dublin;Ireland,  t,  Apartment,  Privateroom, 1, 1, 1, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0
18752569,  Dublin;CountyDublin;Ireland,  ,  ,  Dublin;Ireland,  f,  House,  Privateroom, 2, 1, 1, 36.0, 37.0, 37.0, 37.0, 37.0, 34.666666666666664, 30.0
18752850,  Glasnevin;CountyDublin;Ireland,  AddisonPark,  D09C8Y9,  Glasnevin;Ireland,  t,  House,  Privateroom, 1, 1, 1, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0
18754852,  Dublin;Co.Dublin;Ireland,  TrinityCollege,  Dublin2,  Dublin;Ireland,  f,  Apartment,  Entirehome/apt, 4, 2, 2, 142.0, 142.0, 142.0, 142.0, 71.0, 124.54, 125.58
18761639,  Cabra;CountyDublin;Ireland,  Cabra,  D07E062,  Cabra;Ireland,  t,  House,  Privateroom, 1, 1, 1, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0
18762352,  DunLaoghaire;CountyDublin;Ireland,  Monkstown,  ,  DunLaoghaire;Ireland,  f,  House,  Privateroom, 2, 1, 1, 50.0, 50.0, 50.0, 119.72, 119.95, 124.54, 125.58
18765494,  Dublin;CountyDublin;Ireland,  CityCentre,  D01NX88,  Dublin;Ireland,  t,  Apartment,  Entirehome/apt, 4, 1, 1, 88.0, 88.0, 88.0, 88.0, 88.0, 88.0, 88.0
18768767,  Rathcoole;CountyDublin;Ireland,  ,  D24V529,  Rathcoole;Ireland,  t,  Guestsuite,  Entirehome/apt, 1, 1, 1, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0
18768867,  Marino;CountyDublin;Ireland,  Marino,  D03AW64,  Marino;Ireland,  t,  House,  Privateroom, 2, 1, 1, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0
18771661,  Dublin;CountyDublin;Ireland,  Santry,  D09PF65,  Dublin;Ireland,  f,  Apartment,  Entirehome/apt, 6, 4, 6, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0
18771887,  Ringsend;CountyDublin;Ireland,  Ballsbridge,  D04E1W3,  Ringsend;Ireland,  t,  Townhouse,  Privateroom, 2, 1, 1, 70.0, 75.0, 75.0, 75.0, 69.5, 60.0, 60.0
18773273,  Dublin;CountyDublin;Ireland,  CityCentre,  ,  Dublin;Ireland,  t,  Boutiquehotel,  Privateroom, 2, 1, 1, 85.0, 85.0, 56.666666666666664, 119.72, 119.95, 124.54, 125.58
18776839,  Santry;CountyDublin;Ireland,  Santry,  D09PP73,  Santry;Ireland,  f,  House,  Privateroom, 2, 1, 1, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0
18781446,  Dublin;CountyDublin;Ireland,  OldCity,  D08X3P8,  Dublin;Ireland,  t,  Townhouse,  Entirehome/apt, 4, 2, 2, 160.0, 160.0, 53.333333333333336, 119.72, 119.95, 124.54, 125.58
18781803,  Dublin;CountyDublin;Ireland,  OldCity,  D08FX03,  Dublin;Ireland,  t,  Condominium,  Privateroom, 2, 1, 1, 70.0, 70.0, 70.0, 70.0, 70.0, 70.0, 70.0
18783532,  Dublin;CountyDublin;Ireland,  CityCentre,  ,  Dublin;Ireland,  f,  Apartment,  Entirehome/apt, 4, 2, 2, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0
18787525,  Dublin;CountyDublin;Ireland,  Rathfarnham,  ,  Dublin;Ireland,  f,  House,  Privateroom, 2, 1, 1, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0
18788381,  Dublin;CountyDublin;Ireland,  Castleknock,  D15E0E7,  Dublin;Ireland,  t,  House,  Privateroom, 2, 1, 2, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0
18789733,  Dublin;CountyDublin;Ireland,  Docklands,  ,  Dublin;Ireland,  t,  Apartment,  Privateroom, 2, 1, 1, 60.0, 60.0, 60.0, 60.0, 30.0, 124.54, 125.58
18792567,  Lucan;CountyDublin;Ireland,  ,  K78WV00,  Lucan;Ireland,  t,  Apartment,  Entirehome/apt, 2, 1, 1, 30.0, 60.0, 60.0, 60.0, 119.95, 124.54, 125.58
18792748,  Dundrum;CountyDublin;Ireland,  Dundrum,  D14VY90,  Dundrum;Ireland,  t,  Townhouse,  Entirehome/apt, 4, 1, 2, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0
18793715,  Dublin;CountyDublin;Ireland,  CityCentre,  D01T2X0,  Dublin;Ireland,  t,  Townhouse,  Entirehome/apt, 6, 3, 3, 210.0, 210.0, 210.0, 210.0, 210.0, 210.0, 210.0
18799653,  Dublin;CountyDublin;Ireland,  TempleBar,  ,  Dublin;Ireland,  t,  Condominium,  Entirehome/apt, 3, 2, 2, 185.0, 185.0, 185.0, 185.0, 119.95, 124.54, 125.58
18799672,  Dublin;CountyDublin;Ireland,  CityCentre,  D07Y1F6,  Dublin;Ireland,  t,  House,  Privateroom, 2, 1, 1, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0
18802300,  Drumcondra;CountyDublin;Ireland,  Drumcondra,  D09F5C6,  Drumcondra;Ireland,  t,  House,  Entirehome/apt, 6, 3, 3, 100.0, 100.0, 33.333333333333336, 119.72, 119.95, 124.54, 125.58
18802472,  Dublin;CountyDublin;Ireland,  OldCity,  D08CTX3,  Dublin;Ireland,  t,  House,  Privateroom, 1, 2, 2, 70.0, 70.0, 23.333333333333332, 119.72, 119.95, 124.54, 125.58
18803712,  Dublin;CountyDublin;Ireland,  Finglas,  D11K7X9,  Dublin;Ireland,  t,  Bungalow,  Entirehome/apt, 2, 1, 1, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0
18804601,  Kinsealy;CountyDublin;Ireland,  ,  K67E201,  Kinsealy;Ireland,  t,  House,  Privateroom, 2, 1, 1, 47.0, 47.0, 15.666666666666666, 119.72, 119.95, 124.54, 125.58
18804967,  Donnybrook;CountyDublin;Ireland,  Donnybrook,  D04P9W4,  Donnybrook;Ireland,  t,  Cabin,  Entirehome/apt, 2, 2, 2, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0
18808415,  Dublin;CountyDublin;Ireland,  TheLiberties,  D08K152,  Dublin;Ireland,  t,  Apartment,  Entirehome/apt, 9, 3, 6, 187.0, 187.0, 255.0, 192.66666666666666, 284.0, 124.54, 125.58
18808719,  Dublin;CountyDublin;Ireland,  Phibsborough,  ,  Dublin;Ireland,  t,  Townhouse,  Entirehome/apt, 2, 1, 1, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0
18809468,  Killiney;CountyDublin;Ireland,  ,  A96P524,  Killiney;Ireland,  t,  House,  Entirehome/apt, 5, 3, 3, 130.0, 130.0, 130.0, 130.0, 130.0, 130.0, 130.0
18809482,  Dublin;Co.Dublin;Ireland,  Kilmainham,  Dublin8,  Dublin;Ireland,  f,  Apartment,  Entirehome/apt, 5, 2, 4, 150.0, 150.0, 150.0, 100.0, 119.95, 124.54, 125.58
18817733,  Saggart;CountyDublin;Ireland,  ,  ,  Saggart;Ireland,  f,  House,  Privateroom, 4, 1, 2, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0
18819901,  Ranelagh;CountyDublin;Ireland,  RanelaghandRathmines,  D06TC66,  Ranelagh;Ireland,  t,  Apartment,  Entirehome/apt, 4, 2, 2, 145.0, 145.0, 145.0, 145.0, 145.0, 124.54, 125.58
18819964,  Dublin;CountyDublin;Ireland,  Crumlin,  ,  Dublin;Ireland,  f,  Townhouse,  Entirehome/apt, 5, 3, 4, 53.5, 107.0, 107.0, 107.0, 107.0, 107.0, 125.58
18832195,  Dublin;CountyDublin;Ireland,  TempleBar,  ,  Dublin;Ireland,  f,  Apartment,  Entirehome/apt, 6, 2, 4, 120.0, 120.0, 80.0, 119.72, 119.95, 124.54, 125.58
18835374,  Dublin;CountyDublin;Ireland,  MountMerrion,  A94H281,  Dublin;Ireland,  t,  House,  Entirehome/apt, 6, 3, 4, 130.0, 130.0, 130.0, 130.0, 130.0, 130.0, 130.0
18835412,  Stoneybatter;CountyDublin;Ireland,  Stoneybatter/ArbourHill,  D07A070,  Stoneybatter;Ireland,  f,  Apartment,  Entirehome/apt, 4, 2, 2, 151.0, 151.0, 250.0, 250.0, 250.0, 250.0, 250.0
18837038,  Dublin;CountyDublin;Ireland,  Churchtown,  ,  Dublin;Ireland,  f,  House,  Entirehome/apt, 4, 2, 2, 190.0, 190.0, 190.0, 190.0, 190.0, 190.0, 190.0
18837699,  Dublin6;CountyDublin;Ireland,  RanelaghandRathmines,  ,  Dublin6;Ireland,  t,  Apartment,  Entirehome/apt, 2, 1, 1, 95.0, 31.666666666666668, 63.333333333333336, 119.72, 119.95, 124.54, 125.58
18840560,  Goatstown;CountyDublin;Ireland,  Ardilea,  D14X753,  Goatstown;Ireland,  t,  House,  Privateroom, 6, 3, 3, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0
18845106,  Castleknock;CountyDublin;Ireland,  Castleknock,  D15F218,  Castleknock;Ireland,  t,  House,  Entirehome/apt, 4, 2, 3, 97.0, 97.0, 97.0, 97.0, 97.0, 97.0, 97.0
18845904,  Dublin;CountyDublin;Ireland,  OldCity,  ,  Dublin;Ireland,  f,  Apartment,  Privateroom, 2, 1, 1, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0
18846978,  Castleknock;CountyDublin;Ireland,  Castleknock,  D15HDK4,  Castleknock;Ireland,  t,  House,  Entirehome/apt, 6, 3, 4, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 125.58
18847673,  Dublin;CountyDublin;Ireland,  EastWall,  ,  Dublin;Ireland,  f,  Apartment,  Privateroom, 2, 1, 1, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0
18848268,  Swords;CountyDublin;Ireland,  ,  K67P084,  Swords;Ireland,  f,  House,  Privateroom, 2, 1, 1, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
18853179,  Dublin;CountyDublin;Ireland,  "NorthCityCentral/OConnellStreet",  D01YV66,  Dublin;Ireland,  t,  Apartment,  Entirehome/apt, 4, 1, 2, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0
18853837,  Dublin;CountyDublin;Ireland,  CityCentre,  ,  Dublin;Ireland,  f,  Apartment,  Entirehome/apt, 2, 1, 1, 110.0, 110.0, 110.0, 110.0, 110.0, 110.0, 110.0
18854267,  Dublin;CountyDublin;Ireland,  TheLiberties,  ,  Dublin;Ireland,  t,  Apartment,  Privateroom, 1, 1, 2, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0
18861697,  Dublin6;Ireland,  Rathgar,  D06X7Y8,  Dublin6;Ireland,  t,  Guestsuite,  Privateroom, 2, 1, 1, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0
18862890,  Dublin;CountyDublin;Ireland,  TrinityCollege,  D02CC89,  Dublin;Ireland,  t,  Townhouse,  Entirehome/apt, 3, 2, 2, 140.0, 140.0, 140.0, 140.0, 70.0, 124.54, 125.58
18864773,  Dublin;CountyDublin;Ireland,  Cabra,  D07PFX6,  Dublin;Ireland,  t,  House,  Entirehome/apt, 6, 3, 4, 120.0, 220.0, 220.0, 220.0, 220.0, 220.0, 220.0
18869406,  Dublin;CountyDublin;Ireland,  MountMerrion,  ,  Dublin;Ireland,  t,  Apartment,  Privateroom, 1, 1, 1, 48.0, 48.0, 48.0, 48.0, 48.0, 48.0, 48.0
18869530,  Dublin;CountyDublin;Ireland,  Stoneybatter/ArbourHill,  D07XW70,  Dublin;Ireland,  t,  Condominium,  Entirehome/apt, 4, 1, 2, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0
18870944,  Dublin12;CountyDublin;Ireland,  Terenure,  D12PX99,  Dublin12;Ireland,  t,  House,  Privateroom, 1, 2, 1, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0
18886421,  Dublin;Co.Dublin;Ireland,  CityCentre,  Dublin1,  Dublin;Ireland,  f,  Other,  Sharedroom, 1, 1, 1, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0
18891857,  Malahide;CountyDublin;Ireland,  ,  ,  Malahide;Ireland,  f,  Cottage,  Entirehome/apt, 6, 2, 2, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0
18893506,  Inchicore;CountyDublin;Ireland,  Inchicore,  ,  Inchicore;Ireland,  t,  Apartment,  Entirehome/apt, 5, 1, 2, 95.0, 85.0, 85.0, 85.0, 119.95, 124.54, 125.58
18896045,  Dublin5;CountyDublin;Ireland,  Raheny,  D05KW28,  Dublin5;Ireland,  t,  House,  Entirehome/apt, 4, 3, 3, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0
18903404,  Dublin;CountyDublin;Ireland,  CityCentre,  ,  Dublin;Ireland,  t,  Condominium,  Entirehome/apt, 6, 2, 3, 128.5, 123.0, 123.0, 147.66666666666666, 111.0, 111.0, 111.0
18903535,  Dublin1;CountyDublin;Ireland,  "NorthCityCentral/OConnellStreet",  D01VK00,  Dublin1;Ireland,  t,  Apartment,  Entirehome/apt, 4, 1, 2, 91.0, 91.0, 91.0, 102.33333333333333, 125.0, 125.0, 125.0
18904100,  IE;Ireland,  "NorthCityCentral/OConnellStreet",  D01RF40,  IE;Ireland,  t,  Apartment,  Entirehome/apt, 3, 2, 3, 113.59, 70.0, 35.0, 119.72, 119.95, 124.54, 65.0
18904305,  Dublin18;CountyDublin;Ireland,  ,  ,  Dublin18;Ireland,  t,  Guestsuite,  Entirehome/apt, 2, 1, 1, 59.0, 59.0, 59.0, 59.0, 59.0, 59.0, 59.0
18912696,  Dublin;CountyDublin;Ireland,  TheLiberties,  D08X2K2,  Dublin;Ireland,  f,  House,  Entirehome/apt, 2, 1, 1, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0
18914686,  Drumcondra;CountyDublin;Ireland,  Drumcondra,  D09H2X4,  Drumcondra;Ireland,  t,  House,  Entirehome/apt, 5, 3, 3, 97.0, 97.0, 97.0, 97.0, 97.0, 97.0, 97.0
18920551,  MountMerrion;CountyDublin;Ireland,  MountMerrion,  A94X9Y5,  MountMerrion;Ireland,  t,  House,  Privateroom, 2, 1, 1, 46.0, 46.0, 46.0, 46.0, 46.0, 46.0, 46.0
18920642,  MountMerrion;CountyDublin;Ireland,  MountMerrion,  A94X9Y5,  MountMerrion;Ireland,  t,  House,  Privateroom, 1, 1, 1, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0
18920681,  MountMerrion;CountyDublin;Ireland,  MountMerrion,  A94X9Y5,  MountMerrion;Ireland,  t,  House,  Privateroom, 1, 1, 1, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0
18920888,  MountMerrion;CountyDublin;Ireland,  MountMerrion,  A94X9Y5,  MountMerrion;Ireland,  t,  House,  Privateroom, 2, 1, 1, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0
